ID,URL,Channel Name,Title,Published Date,Duration (sec),View_Count,Like_Count,Comment_Count,Description,hours,year
DVPJdVPMTio,https://www.youtube.com/watch?v=DVPJdVPMTio,Dalang Seno,#LiveStreaming KI SENO NUGROHO - WAHYU KATENTREMAN,2019-11-23 21:49:58+00:00,20167,436149,4893.0,258.0,"Pagelaran Wayang Kulit Oleh Dalang Ki Seno Nugroho Dengan Lakon "" Wahyu Katentreman "" Dalam Rangka Hari Jadi Kabupaten Tulungagung Ke - 814 Yang Bertempat Di Pendopo Kongas Arum Kusumaningbongso, Tulungagung, Jawa Timur

Tulungagung, 23 November 2019",5,2019
w_xY93EkSpI,https://www.youtube.com/watch?v=w_xY93EkSpI,Rakafm Purbalingga,LIVE Wayang Banyumasan || Ki Ulinnuha || Lakon Antareja Gugat (5 Agustus 2019),2019-08-07 21:55:50+00:00,27641,33888,303.0,21.0,"- Lakon : Antareja gugat
- Live : Rawalo Banyumas
- Tanggal : 5 Agustus 2019
============================
Rakafm Purbalingga || channel seni budaya terutama Banyumasan || semoga konten yang ada di channel kami dapat memberi manfaat || atas segala partisipasi dan dukungan anda baik melalui SUBSCRIBE, like, share & comment kami sampaikan banyak terima kasih, semoga dimudahkan rejekinya, aamiin.
============================
#RakafmPurbalingga #DalangUlinnuha #WayangBanyumasan
#MediaSeniBudayaDakwah #ChannelNgapakBanyumasan #WayangKulitBanyumasan #LenggerBanyumasan #PengajianNgapak #BudayaBanyumasan #UlinnuhaCilacap #UstadzahMumpuni #PengajianGusMiftah #PengajianKyaiMiftahudinZuhri #LiveStreaming #LiveWayangKulitBanyumasan #LivePengajianAkbar #LiveSeniBudaya #LiveMusik",7,2019
auRqHM_lXSk,https://www.youtube.com/watch?v=auRqHM_lXSk,Kangko Dalang Boyolali,#LiveStreaming PAGELARAN WAYANG KULIT KI SARMADI SABDO UTAMA LAKON DANANJAYA PALAKRAMA,2019-10-19 21:51:23+00:00,20305,2712,70.0,5.0,"19 Oktober 2019
Pagelaran Wayang Kulit Semalam Suntuk 
Dalang KI SARMADI SABDO UTAMA
Karawitan SABDO LARAS
Lakon DANANJAYA PALAKRAMA
Alamat Karanganyar, Kel. Pojok, Kec. Nogosari, Kab. Boyolali.

Didokumentasi Oleh PANDOWO VIDEO SHOOTING 
Live Streaming DALANG KANGKO BOYOLALI

Jangan Lupa SUBCRIBE YA LUURRR, MATURNUWUN.



#WayangKulit #KiSarmadiSabdoUtama #DananjayaPalakrama #KiSarmadi #Viral #Keseniaan #TheSpiritOfJava #HiburanMalam",5,2019
pjTfLTtlRtg,https://www.youtube.com/watch?v=pjTfLTtlRtg,HONOCOROKO Live,"KI WIDIYANTO ""WISOBROTO KRAMA""",2019-06-23 22:42:17+00:00,28599,9305,63.0,14.0,"HONOCOROKO LIVE VIDEO STREAMING BEKERJASAMA DENGAN AVS PRODUCTION, PANJATAN, KULONPROGO MEMPERSEMBAHKAN
PAGELARAN WAYANG KULIT 
KI WIDIYANTO ""WISOBROTO KRAMA""
Lokasi Kasihan, Ngentakrejo, Lendah, Kulonprogo, Yogyakarta
Minggu, 23 Juni 2019",7,2019
45nX9pEFnXI,https://www.youtube.com/watch?v=45nX9pEFnXI,Sanggar Cemara,WAYANG KULIT. Ki Anom Suroto & MPP Bayu Aji. Lakon Anoman Obong.,2019-11-18 21:46:40+00:00,24240,34291,243.0,12.0,"SANGGAR CEMARA

Pagelaran Wayang Kulit

Dalang : Ki Anom Suroto & Ki MPP Bayu Aji
Lakon : Anoman Obong
Gombong 2012",6,2019
q7LDHF5QWPc,https://www.youtube.com/watch?v=q7LDHF5QWPc,ProMedia Shooting,PAGELARAN WAYANG KULIT DALANG KI HASAN YULIANTO SIDOARJO JATIM,2019-08-26 21:51:34+00:00,25865,14287,75.0,4.0,PERNIKAHAN WIDODO & RISKA PUTRA BPK. H.DELER & IBU HJ. ALIMAh (AYAM PANGGANG BECIRO WONOAYU SDA),7,2019
nzHSlZ5UWnU,https://www.youtube.com/watch?v=nzHSlZ5UWnU,HONOCOROKO Live,Wayang Kulit KI GANSAR KESDIK KASDA LAMANA - Semar Mbangun Kahyangan,2019-06-07 22:12:56+00:00,25422,5619,51.0,3.0,"Jum'at,07 Juni 2019
Acara Bersih Dusun 
Gondang,Trasan,Juwiring,Bangsal
Klaten",7,2019
9Adbxr6gxoU,https://www.youtube.com/watch?v=9Adbxr6gxoU,LARASATI LATV,live Wayang Kulit Ki Wartoyo Lakon Petruk Dadi Ratu,2019-10-20 21:11:55+00:00,24381,6986,42.0,2.0,"live Wayang Kulit Dalang Ki Wartoyo Lakon Petruk Dadi Ratu  dalam rangka tasyakuran Walimatul Khitan Adik Apriyanto Putra Bp. Sukardi Ibu Sugiyatmi Ngemplak Galok Karangnongko Klaten Acara Ini Disiarkan Langsung Melalui Channel YouTube Larasati LATV -  Laras Ati Video Shooting Ngembel, Jimbung, Kalikotes, Klaten.Tlf (0272) 3393927 - WA 085729721999",6,2019
yq4Dzl2YZBs,https://www.youtube.com/watch?v=yq4Dzl2YZBs,LARASATI LATV,LIVE | Wayang Kulit Bersih Dk. Ngembel | BT Apri & Mimin | Lakon Lahire Semar Dalang Ki Surono,2019-11-23 22:13:36+00:00,27831,18209,146.0,13.0,"Pagelaran Wayang Kulit Lakon Lahire Semar Dalang Ki Surono Dalam Rangka Bersih Dusun Ngembel, Jimbung, Kalikotes, Klaten. Bintang Tamu Mimin Onggo-Inggi & Aprilia Sucipto.   Acara Ini Disiarkan Langsung Melalui Channel YouTube Larasati LATV -  Laras Ati Video Shooting Ngembel, Jimbung, Kalikotes, Klaten.Tlf (0272) 3393927 - WA 085729721999",7,2019
_CJx6ObjWqE,https://www.youtube.com/watch?v=_CJx6ObjWqE,Oktopus studio HD,"LIVE STREAMING WAYANG KULIT LANGEN BUDAYA, JUDUL DARMAKUSUMA MANEGES  | PART MALAM, 23 OKTOBER 2019",2019-10-23 21:02:40+00:00,20724,27986,144.0,7.0,"LIVE STREAMING  WAYANG KULIT LANGEN BUDAYA DALAM RANGKA SEDEKAH BUMI UNJUNGAN BUYUT ARSITEM SUMUR BANDUNG, DESA DRUNTEN KULON, BLOK TEGAL PELEM RT. 05 RW. 02, KECAMATAN GABUS WETAN, KABUPATEN INDRAMAYU | OKTOPUS STUDIO PRODUCTION INDRAMAYU 085225069993 - 082128722905 

#oktopusstudioHD
#langenbudaya
#livedruntenkulon

Terimakasih Telah Setia Mengikuti Chanal Kami, Jangan Lupa Subscribe,Like,Komen & Share, Semoga Bermanfaat dan Minta Maaf Bila Banyak Kekurangan, Dukungan Anda Sangat Berarti Buat Kami.

Kami butuh Kritik & Saran Agar Chanal Ini lebih Bermanfaat, Jangan Dibuli Yaaaa.... Terima Kasih",5,2019
